Hour,Temperature,Energy
0,17.75567477928637,1000
1,17.097417688029257,1000
2,16.70253079521601,1000
3,16.700157141436538,1000
4,16.700363732710482,1000
5,16.700060527846095,1000
6,16.699173186578292,1000
7,20.645804634959806,1000
8,21.660202891056606,2000
9,22.202527967035973,2000
10,22.20065560734963,2000
11,22.408477813161824,2000
12,22.88404558091668,2000
13,22.28127777325394,2000
14,22.52249987358253,2000
15,22.700790944329224,2000
16,22.283321855332208,2000
17,22.202021796503544,2000
18,22.20265556549768,2000
19,22.204106201153678,2000
20,22.20212161592161,2000
21,19.312006687231026,1000
22,18.556725798995547,1000
23,18.075234904557984,1000
24,17.755674779286373,1000
25,17.458835096035617,1000
26,17.23832080963415,1000
27,17.08567344383499,1000
28,17.00813464618625,1000
29,16.9461967788345,1000
30,16.923804503405034,1000
31,21.728903305626744,2000
32,22.202697287333038,2000
33,22.202031678049373,2000
34,22.202643775941507,2000
35,22.20078602602697,2000
36,22.200689005363422,2000
37,22.201223542577306,2000
38,22.235904272430407,2000
39,22.285799990513844,2000
40,22.201670087437012,2000
41,22.20230458994446,2000
42,22.20186210476378,2000
43,22.20215861336947,2000
44,22.201465455591546,2000
45,19.321155395961497,1000
46,18.743108461889612,1000
47,18.430541186622158,1000
48,18.076955963705313,1000
49,17.83442599468791,1000
50,17.585437550265116,1000
51,17.35799084972171,1000
52,17.22367681102805,1000
53,17.089472822966666,1000
54,16.91534591982609,1000
55,21.42976653486099,1000
56,22.203508477489265,2000
57,22.203075226237427,2000
58,22.20143618176006,2000
59,22.201444873384375,2000
60,22.201403282173768,2000
61,22.201819700309517,2000
62,22.201171698577166,2000
63,22.217525440718862,2000
64,22.20034698438555,2000
65,22.203282432910072,2000
66,22.202090574663448,2000
67,22.202959102419793,2000
68,22.20166930085726,2000
69,19.07536337401085,1000
70,18.27990816162157,1000
71,17.758257242500687,1000
72,17.455045980612496,1000
73,17.231294177352485,1000
74,17.017758277996965,1000
75,16.84754994218285,1000
76,16.726315588653623,1000
77,16.69971187881192,1000
78,16.699351466089723,1000
79,21.33298315852052,1000
80,22.200137184126422,2000
81,22.203587366973217,2000
82,22.202017263666832,2000
83,22.201147648210824,2000
84,22.201886633905122,2000
85,22.200606819468657,2000
86,22.20036661299161,2000
87,22.201736205226084,2000
88,22.202032467622967,2000
89,22.204596297595582,2000
90,22.20272022866539,2000
91,22.205765797473106,2000
92,22.203758245117477,2000
93,18.473497111360725,1000
94,17.595322795218173,1000
95,17.11986123806694,1000
96,16.799920346094126,1000
97,16.702056931897605,1000
98,16.699723069933086,1000
99,16.69939645807933,1000
100,16.699627348403297,1000
101,16.69929420195156,1000
102,16.70010371198081,1000
103,16.69901558719264,1000
104,16.699934478475253,1000
105,16.699635109776352,1000
106,17.035031984145242,1000
107,18.110709044939913,1000
108,19.278912046151937,1000
109,20.493071521963547,1000
110,21.49756495266032,1000
111,21.601302044437546,2000
112,20.36331979262067,1000
113,18.725913010187256,1000
114,17.800404332523627,1000
115,17.205935651486037,1000
116,16.80183151022176,1000
117,16.700621182108748,1000
118,16.69930158789321,1000
119,16.700605639784992,1000
120,16.699928829272945,1000
121,16.699436541095928,1000
122,16.69929408833874,1000
123,16.700934049608453,1000
124,16.699271768476112,1000
125,16.69929577540843,1000
126,16.70037550063702,1000
127,16.699194770617705,1000
128,16.69982560366814,1000
129,16.69998788678367,1000
130,17.002350708649175,1000
131,17.59312537144359,1000
132,17.53466793131904,1000
133,17.658957826742213,1000
134,17.425381771343634,1000
135,17.804941711630967,1000
136,17.919264951594954,1000
137,16.89876771777999,1000
